#SampleID	qiita_host_age	age
11052.3.20.13.rk.t	36.0	36.0
10317.000003639	58.0	58.0
550.L6S136.s.6.sequence	32.54	32.54
10317.000031067	42.0	42.0
11052.3.28.14.rk.t	37.0	37.0
10317.000003995	40.0	40.0
550.L5S164.s.5.sequence	33.41	33.41
550.L6S208.s.6.sequence	32.75	32.75
11052.12.16.13.rk.t	37.0	37.0
2024.visit5.MNIH60N.BFL112.O	20.0	20.0
10317.000002335	55.0	55.0
550.L6S86.s.6.sequence	32.39	32.39
550.L6S25.s.6.sequence	32.2	32.2
10317.000002320	68.0	68.0
550.L5S265.s.5.sequence	32.02	32.02
1841.T20762	21.0	21.0
550.L5S276.s.5.sequence	32.07	32.07
1841.T20835	20.0	20.0
1841.T20837	23.0	23.0
1841.T20830	20.0	20.0
1841.T20831	21.0	21.0
1841.T20838	20.0	20.0
1841.T20839	29.0	29.0
11052.3.21.13.rk.t	36.0	36.0
1841.T20389	21.0	21.0
10317.000036127	41.0	41.0
10317.000023302	35.0	35.0
2024.final.MNIH51N.BFG10S.O	21.0	21.0
11052.3.20.14.rk.t	37.373	37.373
10317.000005972	56.0	56.0
550.L6S132.s.6.sequence	32.53	32.53
1841.T21019	23.0	23.0
10317.000009723	39.0	39.0
2024.final.MNIH60N.BFG10W.infant.O	20.0	20.0
1841.T21013	27.0	27.0
2202.Saliva249	26.0	26.0
2202.Saliva248	26.0	26.0
2202.Saliva77	26.0	26.0
2024.visit4.MNIH55N.BFE111.O	34.0	34.0
11052.2.1.14.rk.t	37.244	37.244
2024.final.MNIH94NP.BFG105.O	21.0	21.0
2024.visit5.MNIH88NP.BFL10E.O	27.0	27.0
1841.T21121	55.0	55.0
550.L6S169.s.6.sequence	32.64	32.64
1841.T21122	21.0	21.0
550.L6S84.s.6.sequence	32.38	32.38
2010.1245	34.0	34.0
1841.T21128	22.0	22.0
550.L5S130.s.5.sequence	33.25	33.25
550.L5S202.s.5.sequence	33.54	33.54
1774.L574.Oral.Puer	22.0	22.0
1841.T21468	22.0	22.0
1841.T21469	23.0	23.0
550.L6S303.s.6.sequence	33.02	33.02
1841.T21465	20.0	20.0
550.L6S74.s.6.sequence	32.35	32.35
10317.000004986	61.0	61.0
1774.6Oral22.10.09	33.0	33.0
550.L6S180.s.6.sequence	32.67	32.67
10317.000068790	39.0	39.0
550.L6S51.s.6.sequence	32.29	32.29
2202.Saliva93	26.0	26.0
550.L6S91.s.6.sequence	32.41	32.41
550.L6S36.s.6.sequence	32.25	32.25
2202.Saliva94	26.0	26.0
2202.Saliva96	26.0	26.0
2202.Saliva99	26.0	26.0
10317.000068020	26.0	26.0
1841.T20774	21.0	21.0
2024.final.MNIH21U.BFG11E.O	20.0	20.0
1841.T20263	32.0	32.0
550.L5S277.s.5.sequence	32.08	32.08
2010.2379	23.0	23.0
550.L6S143.s.6.sequence	32.56	32.56
1841.T21264	22.0	22.0
550.L6S276.s.6.sequence	32.95	32.95
10317.000022535	51.0	51.0
10317.000009058	49.0	49.0
2010.2401	23.0	23.0
550.L6S162.s.6.sequence	32.62	32.62
550.L6S280.s.6.sequence	32.96	32.96
10317.000068651	57.0	57.0
550.L6S9.s.6.sequence	32.15	32.15
11052.10.10.13.rk.tB	36.0	36.0
10317.000010171	39.0	39.0
11052.10.3.13.rk.t	36.0	36.0
1841.T20881	20.0	20.0
2024.visit3.MNIH82NP.BFD117.O	18.0	18.0
10317.000007846	37.0	37.0
1841.T21396	19.0	19.0
1841.T21397	26.0	26.0
11052.11.15.13.rk.t	36.0	36.0
550.L6S22.s.6.sequence	32.19	32.19
2010.2579	21.0	21.0
1841.T20710	22.0	22.0
2202.Saliva247	26.0	26.0
2024.visit4.MNIH37U.BFE10F.O	20.0	20.0
550.L5S226.s.5.sequence	33.63	33.63
1841.T20873	36.0	36.0
10317.000002102	61.0	61.0
11052.12.7.13.rk.t	37.0	37.0
2024.final.MNIH48N.BFG10E.O	30.0	30.0
2010.1988	32.0	32.0
2202.Saliva246	26.0	26.0
10317.000053438	60.0	60.0
1841.T20883	23.0	23.0
10317.000004060	66.0	66.0
11052.1.15.14.rk.t	37.197	37.197
10317.000069436	68.0	68.0
1841.T21482	20.0	20.0
1841.T21483	23.0	23.0
550.L5S224.s.5.sequence	33.62	33.62
1841.T21486	23.0	23.0
1841.T21484	23.0	23.0
1841.T21488	23.0	23.0
550.L6S281.s.6.sequence	32.96	32.96
550.L6S284.s.6.sequence	32.97	32.97
10317.000073347	38.0	38.0
11052.11.10.13.rk.t	36.0	36.0
550.L6S109.s.6.sequence	32.46	32.46
1841.T20738	23.0	23.0
1841.T20606	21.0	21.0
10317.000009076	31.0	31.0
1774.359.Oral.Puer	18.0	18.0
1841.T20733	36.0	36.0
2010.2799	23.0	23.0
10317.000036684	68.0	68.0
1841.T21154	21.0	21.0
2010.1217	27.0	27.0
10317.000010977	60.0	60.0
550.L6S140.s.6.sequence	32.55	32.55
2010.1393	27.0	27.0
2202.Saliva240	26.0	26.0
1841.T21157	37.0	37.0
550.L6S64.s.6.sequence	32.33	32.33
10317.000015206	60.0	60.0
11052.10.14.13.rk.t	36.0	36.0
1841.T20602	22.0	22.0
2024.visit1.MNIH51N.BFB10C.O	21.0	21.0
550.L6S2.s.6.sequence	32.12	32.12
1841.T20605	20.0	20.0
550.L6S322.s.6.sequence	33.14	33.14
2202.Saliva199	26.0	26.0
2010.1850	32.0	32.0
10317.000007771	37.0	37.0
11052.10.7.13.rk.t	36.0	36.0
2024.visit2.MNIH86NP.BFC10H.O	25.0	25.0
1841.T20931	20.0	20.0
2202.Saliva242	26.0	26.0
1841.T20930	20.0	20.0
1841.T21432	23.0	23.0
550.L6S54.s.6.sequence	32.3	32.3
10317.000014002	58.0	58.0
550.L5S161.s.5.sequence	33.41	33.41
1841.T20515	22.0	22.0
1841.T20513	23.0	23.0
1841.T20512	21.0	21.0
2010.1487	27.0	27.0
10317.000066864	29.0	29.0
2024.visit1.MNIH56N.BFB10K.O	21.0	21.0
550.L5S137.s.5.sequence	33.27	33.27
10317.000010915	60.0	60.0
10317.000068653	59.0	59.0
1841.T20383	37.0	37.0
10317.000037945	51.0	51.0
10317.000015153	25.0	25.0
2202.Saliva244	26.0	26.0
550.L6S112.s.6.sequence	32.47	32.47
550.L5S240.s.5.sequence	31.95	31.95
1841.T20888	21.0	21.0
550.L5S203.s.5.sequence	33.54	33.54
2202.Saliva195	26.0	26.0
2024.final.MNIH14UP.BFG10L.O	18.0	18.0
10317.000005842	35.0	35.0
1774.48Oral23.10.09	22.0	22.0
10317.000014193	58.0	58.0
10317.000005946	62.0	62.0
10317.000074185	55.0	55.0
1841.T21438	27.0	27.0
10317.000023665	65.0	65.0
10317.000031868	67.0	67.0
2024.visit4.MNIH43N.BFE10V.O	29.0	29.0
10317.000020485	43.0	43.0
2202.Saliva197	26.0	26.0
10317.000031867	65.0	65.0
2202.Saliva147	26.0	26.0
2024.visit1.MNIH34U.BFB11N.O	22.0	22.0
2202.Saliva144	26.0	26.0
10317.000002221	60.0	60.0
2202.Saliva145	26.0	26.0
