#SampleID	qiita_host_age	age
10317.000003638	58	58
1841.F06478	20	20
1841.F06479	22	22
1841.F06476	23	23
1841.F06474	22	22
1841.F06472	22	22
1841.F06471	21	21
10317.000087026	50	50
1841.F05357	20	20
10317.000049806	66	66
1841.F06380	36	36
1841.F06381	21	21
1841.F06382	23	23
1841.F06384	21	21
1841.F06385	22	22
1841.F06389	23	23
1841.F05947	18	18
10317.000004984	61	61
10317.000068792	39	39
1841.P15440	22	22
1841.F05659	20	20
1841.F05658	22	22
1841.F05120	20	20
1841.F05651	21	21
1841.F05650	20	20
1841.F05124	20	20
1841.F05126	21	21
1841.P16237	22	22
1841.P16235	55	55
1841.P16234	20	20
1841.P16497	22	22
1841.P16496	27	27
1841.P16494	23	23
11052.6.5.13.rk.rh	36	36
1841.P16491	22	22
1841.P16499	23	23
11052.5.15.13.rk.rh	36	36
1841.F05564	30	30
1841.P15331	23	23
1841.P15336	23	23
11052.6.19.13.rk.fh	36	36
1841.P15145	19	19
1841.P15149	18	18
2010.2652	26	26
1841.F06045	23	23
11052.5.8.13.rk.fh	36	36
11052.6.27.13.rk.lh	36	36
1841.P15324	20	20
1841.P15327	20	20
1841.P15320	23	23
2010.1953	32	32
2010.3168	31	31
10317.000015209	60	60
10317.000020453	42	42
1841.P16345	25	25
1841.F05825	20	20
1841.F05350	21	21
1841.F05351	22	22
1841.F05820	30	30
1841.F05821	55	55
1841.F05828	32	32
10317.000005565	53	53
10317.000005564	53	53
10317.000006913	50	50
1841.P16557	20	20
1841.P16554	20	20
1841.P16555	20	20
1841.P16550	20	20
1841.P16003	23	23
1841.P16559	41	41
10317.000004238	58	58
1841.F06139	22	22
10317.000004236	58	58
10317.000004237	58	58
11052.6.15.13.rk.lh	36	36
10317.000068943	39	39
10317.000049906	69	69
11052.6.30.13.rk.rh	36	36
10317.000049240	56	56
10317.000049241	56	56
1841.F06454	23	23
1841.F06456	20	20
1841.F06452	21	21
1841.F06458	21	21
1841.F06459	23	23
1841.F05109	21	21
1841.F05106	37	37
1841.F05105	22	22
1841.F05104	20	20
1841.F05102	22	22
11052.6.25.13.rk.fh	36	36
2010.2046	34	34
11052.6.10.13.rk.lh	36	36
2010.1361	27	27
11052.RK.LPalm.10.24.2008	31	31
10317.000010182	33	33
1841.P15124	18	18
1841.P15125	19	19
1841.P15122	27	27
1841.P15121	18	18
10317.000063344	29	29
1841.F06026	20	20
1841.P15693	20	20
10317.000063164	29	29
10317.000023128	41	41
1841.F05594	32	32
1841.F05595	21	21
1841.F05597	19	19
1841.F05590	28	28
1841.F05593	21	21
1841.F05598	20	20
1841.F05831	32	32
10317.000015501	58	58
10317.000015451	46	46
1841.F05373	19	19
10317.000002260	52	52
11052.6.28.13.rk.rh	36	36
1841.P16574	20	20
1841.P16576	21	21
1841.P16577	29	29
1841.P16572	22	22
10317.000014679	45	45
10317.000068979	34	34
1841.F06504	20	20
11052.5.20.13.rk.fh	36	36
10317.000005637	32	32
10317.000005636	32	32
10317.000005634	32	32
11052.6.12.13.rk.fh	36	36
1841.P16544	20	20
10317.000003410	49	49
1841.P16543	21	21
1841.P16542	20	20
1841.F05161	55	55
1841.F05162	21	21
1841.P15972	21	21
10317.000003207	56	56
2010.1566	35	35
11052.6.7.13.rk.lh	36	36
11052.5.19.13.rk.lh	36	36
11052.6.3.13.rk.rh	36	36
11052.6.23.13.rk.rh	36	36
1841.F06551	20	20
1841.F06002	23	23
1841.F06552	21	21
1841.F06555	20	20
1841.F06006	21	21
1841.F06005	27	27
1841.F06556	41	41
1841.F06559	21	21
1841.F06558	29	29
1841.F06009	23	23
1841.F06232	25	25
1841.F06233	26	26
11052.5.31.13.rk.rh	36	36
10317.000005159	29	29
1841.P15435	19	19
10317.000015151	25	25
1841.F05570	20	20
1841.F05571	30	30
1841.F05576	30	30
1841.F05574	23	23
1841.F05844	55	55
2010.2215	23	23
1841.F06482	21	21
11052.6.21.13.rk.fh	36	36
10317.000041070	31	31
1841.F05409	22	22
1841.F06493	21	21
1841.F06494	21	21
1841.F06495	22	22
1841.F06497	21	21
1841.F06498	20	20
1841.F06499	20	20
1841.P15719	22	22
1841.P15710	20	20
1841.P15712	20	20
1841.P15714	22	22
1841.P15717	32	32
1841.P15716	21	21
11052.5.16.13.rk.rh	36	36
1841.F05145	20	20
10317.000005219	40	40
11052.5.10.13.rk.fh	36	36
1841.P16439	23	23
1841.P16383	21	21
1841.P16380	30	30
1841.P16432	23	23
1841.P16435	22	22
1841.P16436	20	20
10317.000049828	37	37
1841.P15325	20	20
1841.F05050	20	20
11052.6.19.13.rk.lh	36	36
1841.F05507	25	25
1841.F05505	20	20
1841.F06441	20	20
1841.F06440	20	20
11052.6.1.13.rk.rh	36	36
10317.000015976	66	66
1841.F06577	36	36
1841.F06575	21	21
1841.F06573	21	21
1841.F06570	20	20
10317.000063308	25	25
1841.F06579	21	21
10317.000007695	53	53
10317.000007696	53	53
11052.6.17.13.rk.rh	36	36
1841.P15385	22	22
1841.P15383	20	20
2010.1488	27	27
2010.3272	31	31
1841.F05086	23	23
10317.000048946	25	25
10317.000048947	25	25
1841.P15520	20	20
1841.P15521	21	21
1841.P15525	19	19
1841.P15528	20	20
1841.F05553	20	20
1841.F05554	21	21
1841.F05555	21	21
10317.000014492	38	38
1841.F06464	20	20
1841.F05882	21	21
1841.F05881	25	25
1841.F05889	33	33
10317.000041057	33	33
1841.F06461	20	20
11052.5.11.13.rk.fh	36	36
11052.6.30.13.rk.lh	36	36
1841.P16066	20	20
10317.000003105	30	30
10317.000012153	39	39
1841.P16473	19	19
1841.P15737	19	19
1841.P15735	21	21
1841.P15733	21	21
1841.P15731	22	22
10317.000010809	63	63
1841.F06212	20	20
1841.F06216	20	20
1841.F06215	20	20
1841.P15006	21	21
10317.000005235	55	55
10317.000015057	80	80
10317.000068986	34	34
10317.000002497	37	37
1841.P16419	22	22
1841.P16417	22	22
1841.P16414	23	23
1841.P16413	27	27
1841.P16411	22	22
2010.2027	34	34
